replicate,method,canonical_accuracy,canonical_macro_f1,canonical_log_loss,canonical_ece
0,PLA-BN (TAN),0.534,0.5096785050309323,0.9977100452777888,0.0259250032828836
0,PLA-BN (Naive Bayes),0.457,0.4440258605612127,2.390185541871596,0.2830702730028914
0,Representative-label TAN,0.368,0.3161356826552391,1.227601593067283,0.2040631306100335
0,Oracle-label TAN,0.53475,0.5182335556674682,0.9875321514285142,0.0145328954005627
0,Operator-aware logistic EM,0.531,0.5067208365184147,0.9948144152939375,0.0294267519245327
0,Independent-threshold logistic,0.53275,0.5185402093943228,1.0014292738936763,0.0299188676870254
1,PLA-BN (TAN),0.5395,0.5317738445263793,0.98969215632372,0.0246965114504097
1,PLA-BN (Naive Bayes),0.4355,0.4073850880597861,2.7504533440785104,0.2889351493824598
1,Representative-label TAN,0.3655,0.3000565282656007,1.2180952583803173,0.2061063696711463
1,Oracle-label TAN,0.54975,0.538501951519907,0.97961800897518,0.0199751705631779
1,Operator-aware logistic EM,0.538,0.5254624799623939,0.988613219936527,0.0350702821709471
1,Independent-threshold logistic,0.543,0.5356363331891818,0.9895760929002876,0.0178131902401976
2,PLA-BN (TAN),0.51675,0.4898490597810639,1.031927746506833,0.0395895963863453
2,PLA-BN (Naive Bayes),0.45,0.4370206184391916,2.4946798724021013,0.2932929150421454
2,Representative-label TAN,0.382,0.3288216128131405,1.2250840114860446,0.1813572923847417
2,Oracle-label TAN,0.528,0.5111608904306351,1.012514938907917,0.0184377425394798
2,Operator-aware logistic EM,0.52025,0.4912248540934056,1.0292325682571968,0.0226032346283129
2,Independent-threshold logistic,0.52175,0.4974741685599066,1.042792246452844,0.0419168907925199
3,PLA-BN (TAN),0.51525,0.4948016027439115,1.0043979729607608,0.0322253635526559
3,PLA-BN (Naive Bayes),0.39675,0.3733352482926084,2.743704994104541,0.3185224047883029
3,Representative-label TAN,0.37525,0.3217652411531326,1.2200656386939828,0.1893843238282197
3,Oracle-label TAN,0.52225,0.5034223829759499,0.9911965264378708,0.0198988523832794
3,Operator-aware logistic EM,0.516,0.4937825010317035,0.9965977975289968,0.0329615449896613
3,Independent-threshold logistic,0.5115,0.4924194616467421,1.0011576781860296,0.0409896264599038
4,PLA-BN (TAN),0.52875,0.5191263921089705,1.008359557354639,0.0234300433920091
4,PLA-BN (Naive Bayes),0.41075,0.3878899706392676,2.853075901902302,0.305655333716334
4,Representative-label TAN,0.37825,0.3181307481367472,1.2310088058226394,0.1910749860417182
4,Oracle-label TAN,0.53025,0.518414656096286,1.0021643367014517,0.0176687727142389
4,Operator-aware logistic EM,0.53225,0.5185251608739979,1.0063241696821692,0.0212384624500552
4,Independent-threshold logistic,0.53325,0.5308714130328538,1.0119508530666246,0.0257000607423694
5,PLA-BN (TAN),0.52825,0.5035058019050456,1.00476061135863,0.0342979669469062
5,PLA-BN (Naive Bayes),0.45825,0.4449850102458895,2.5725183724470573,0.2862899983619808
5,Representative-label TAN,0.36775,0.3073327966756231,1.228661394942106,0.2062518709655363
5,Oracle-label TAN,0.53575,0.5074886732436836,0.9902688697755092,0.0192767723584669
5,Operator-aware logistic EM,0.52975,0.5005633504171778,1.0037228540267022,0.0276588078966941
5,Independent-threshold logistic,0.526,0.5111351136707879,1.0107296441602058,0.0317869598195406
6,PLA-BN (TAN),0.53375,0.5066053761260187,0.9947643236779536,0.0246770536148649
6,PLA-BN (Naive Bayes),0.46225,0.4465091451264365,2.2947609335921206,0.2820822515942232
6,Representative-label TAN,0.3745,0.329564961047461,1.2128346887019543,0.1900339682275172
6,Oracle-label TAN,0.54375,0.5198574252004581,0.986321668020578,0.023919567771348
