method,class,precision,recall,f1-score,support
GALIATSATOS/PLA-BN TAN,0,0.548828125,0.5165441176470589,0.5321969696969697,544.0
GALIATSATOS/PLA-BN TAN,1,0.6332404828226555,0.7396963123644251,0.6823411705852926,922.0
GALIATSATOS/PLA-BN TAN,2,0.09523809523809523,0.024242424242424242,0.03864734299516908,165.0
Operator-aware logistic EM,0,0.6003787878787878,0.5827205882352942,0.5914179104477612,544.0
Operator-aware logistic EM,1,0.6575840145322435,0.7852494577006508,0.7157686604053386,922.0
Operator-aware logistic EM,2,0.0,0.0,0.0,165.0
Oracle-label logistic,0,0.6533018867924528,0.5091911764705882,0.5723140495867769,544.0
Oracle-label logistic,1,0.6503728251864126,0.851409978308026,0.7374354156881164,922.0
Oracle-label logistic,2,0.0,0.0,0.0,165.0
