replicate,method,new_definition_accuracy,new_definition_log_loss
17,PLA-BN (Naive Bayes),0.58425,0.9851752669886472
17,Representative-label TAN,0.53425,0.9275607483990224
17,Oracle-label TAN,0.66425,0.6989688227448577
17,Operator-aware logistic EM,0.66425,0.7009757526765988
17,Independent-threshold logistic,0.66575,0.7036216354111129
18,PLA-BN (TAN),0.6615,0.6884321064562571
18,PLA-BN (Naive Bayes),0.57225,0.9495662973718504
18,Representative-label TAN,0.545,0.881078223517057
18,Oracle-label TAN,0.663,0.6844261143992533
18,Operator-aware logistic EM,0.65575,0.6865984274376017
18,Independent-threshold logistic,0.6675,0.6914102365016731
19,PLA-BN (TAN),0.65375,0.6990941084886676
19,PLA-BN (Naive Bayes),0.58825,0.954644383881183
19,Representative-label TAN,0.54475,0.9191187443064026
19,Oracle-label TAN,0.65275,0.6925647412841188
19,Operator-aware logistic EM,0.6535,0.6977333294790276
19,Independent-threshold logistic,0.654,0.700261664036691
20,PLA-BN (TAN),0.67875,0.6816253815331017
20,PLA-BN (Naive Bayes),0.51775,2.0869020819939745
20,Representative-label TAN,0.55825,0.8982552733959412
20,Oracle-label TAN,0.6805,0.6772225161356109
20,Operator-aware logistic EM,0.679,0.682809505056942
20,Independent-threshold logistic,0.67925,0.6849049119175935
21,PLA-BN (TAN),0.65225,0.7108455976531513
21,PLA-BN (Naive Bayes),0.5545,0.9745826915353456
21,Representative-label TAN,0.51925,0.9507615989632232
21,Oracle-label TAN,0.65725,0.7082942934983509
21,Operator-aware logistic EM,0.6585,0.7079108001264931
21,Independent-threshold logistic,0.65575,0.7108688355500039
22,PLA-BN (TAN),0.65975,0.7127368059781231
22,PLA-BN (Naive Bayes),0.5485,1.0004280201499662
22,Representative-label TAN,0.5465,0.8921138153983543
22,Oracle-label TAN,0.664,0.7059505717402286
22,Operator-aware logistic EM,0.66025,0.704041500732734
22,Independent-threshold logistic,0.6585,0.7081326963310454
23,PLA-BN (TAN),0.65575,0.696658292433563
23,PLA-BN (Naive Bayes),0.50525,2.055722887098026
23,Representative-label TAN,0.53725,0.9236350692797408
23,Oracle-label TAN,0.666,0.6925919623652778
23,Operator-aware logistic EM,0.6625,0.6997045047832139
23,Independent-threshold logistic,0.66725,0.7041681902137792
24,PLA-BN (TAN),0.6705,0.6937893797940264
24,PLA-BN (Naive Bayes),0.576,0.9578260234508126
24,Representative-label TAN,0.52925,0.9069192597798252
24,Oracle-label TAN,0.6645,0.6907796660312553
24,Operator-aware logistic EM,0.674,0.6916882233393885
24,Independent-threshold logistic,0.666,0.6966409389604571
25,PLA-BN (TAN),0.653,0.7169781656699585
25,PLA-BN (Naive Bayes),0.52925,1.957166955313135
25,Representative-label TAN,0.53525,0.921154559194888
25,Oracle-label TAN,0.65525,0.7047005821509751
25,Operator-aware logistic EM,0.6545,0.7101337804541874
25,Independent-threshold logistic,0.65625,0.7129930921714833
26,PLA-BN (TAN),0.66525,0.6955544334280732
26,PLA-BN (Naive Bayes),0.5235,2.0917905981053786
26,Representative-label TAN,0.54625,0.9023061932095232
26,Oracle-label TAN,0.6655,0.687748502264501
26,Operator-aware logistic EM,0.66425,0.6943945577815649
26,Independent-threshold logistic,0.6665,0.6995933657112671
27,PLA-BN (TAN),0.647,0.7059676473555653
27,PLA-BN (Naive Bayes),0.5225,2.023565023265564
27,Representative-label TAN,0.53625,0.8940449279149375
27,Oracle-label TAN,0.65575,0.6972390876863418
27,Operator-aware logistic EM,0.651,0.7063202158284453
27,Independent-threshold logistic,0.647,0.7110296427475084
28,PLA-BN (TAN),0.66475,0.697962848118812
28,PLA-BN (Naive Bayes),0.50625,1.975201875891802
28,Representative-label TAN,0.53225,0.9071177125458126
28,Oracle-label TAN,0.66325,0.6941498749109073
28,Operator-aware logistic EM,0.66525,0.6955753994482905
28,Independent-threshold logistic,0.66475,0.7003854852169379
29,PLA-BN (TAN),0.66725,0.7053516000526974
29,PLA-BN (Naive Bayes),0.5915,0.969663377350405
29,Representative-label TAN,0.51825,0.9239646965556
29,Oracle-label TAN,0.662,0.6985083478611176
29,Operator-aware logistic EM,0.66,0.7011374353955784
29,Independent-threshold logistic,0.658,0.7074903236401828
