method,n_outer,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,log_loss_mean,log_loss_sd,brier_mean,brier_sd
GALIATSATOS/PLA-BN TAN,25,0.5447529549102583,0.01869004849182861,0.5464858428543026,0.019921106518705073,0.5405528037826568,0.018710469123892903,1.127263058527009,0.06942706720404204,0.6291850900438378,0.02804817461325053
Operator-aware logistic EM,25,0.5709672510475079,0.01734255948558603,0.5390301353061003,0.01966156004818577,0.5507497152479087,0.01957350396335223,0.8864110024906547,0.02175626260679811,0.5392353379521044,0.012941755944889978
Oracle-label logistic,25,0.5755002814200246,0.01581978531418268,0.536460475807515,0.015783642868726123,0.5492673646127151,0.01654877157907198,0.8825390606454329,0.021095946980356342,0.5377486203423973,0.013047038347872384
