evaluation,method,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,log_loss_mean,brier_mean
transport_ACC_AHA_130_80,GALIATSATOS/PLA-BN TAN,0.6403820474703633,0.6191511462538425,0.6201252047500266,0.6290394421296572,0.4388137654805191
transport_ACC_AHA_130_80,Operator-aware logistic EM,0.6590167222882252,0.6312780761206375,0.6330648795274374,0.5991947128532784,0.41559146329632385
transport_ACC_AHA_130_80,Oracle-label logistic,0.6582589158671689,0.6286463254447365,0.6304198220454686,0.6001487391057321,0.41600333005645895
transport_ESC_140_90,GALIATSATOS/PLA-BN TAN,0.7905824641842935,0.5415340185679659,0.5392515065861327,0.4692330602241143,0.2992408229377077
transport_ESC_140_90,Operator-aware logistic EM,0.8066644378242518,0.5268240849801668,0.5069995486041727,0.43031128960186005,0.27695397707125363
transport_ESC_140_90,Oracle-label logistic,0.803831618915708,0.5239565451509764,0.5038355804582657,0.42689378831271874,0.27660366264555175
