repeat,fold,split_id,evaluation,method,accuracy,balanced_accuracy,macro_f1,log_loss,brier
1,1,R1F1,canonical_quality,GALIATSATOS/PLA-BN TAN,0.5173469387755102,0.5220488362688087,0.5161580212974991,1.203400960266915,0.683371345753355
1,1,R1F1,transport_quality_ge_6,GALIATSATOS/PLA-BN TAN,0.7357142857142858,0.6922976208289691,0.6963116377180419,0.5914033391802649,0.3837029694068397
1,1,R1F1,transport_quality_ge_7,GALIATSATOS/PLA-BN TAN,0.7540816326530613,0.6535721305031447,0.6485578790264139,0.6182645300318234,0.3644548353498715
1,1,R1F1,canonical_quality,Operator-aware logistic EM,0.5346938775510204,0.4988707833047456,0.5101891557106297,0.939695845229954,0.5656193386622679
1,1,R1F1,transport_quality_ge_6,Operator-aware logistic EM,0.736734693877551,0.6657938051773156,0.6753983700592099,0.5319046467963361,0.3533218395653252
1,1,R1F1,transport_quality_ge_7,Operator-aware logistic EM,0.7857142857142857,0.6088713639937107,0.6228448275862069,0.4663793826180342,0.2970836954667502
1,1,R1F1,canonical_quality,Oracle-label logistic,0.5459183673469388,0.5083814444490928,0.5188420497934415,0.9382454335549664,0.5659398339700796
1,1,R1F1,transport_quality_ge_6,Oracle-label logistic,0.7326530612244898,0.6672714349842885,0.6759308342799445,0.536184504928951,0.3552334276310226
1,1,R1F1,transport_quality_ge_7,Oracle-label logistic,0.7795918367346939,0.589598073899371,0.6006519967400162,0.4618076038836473,0.2967689990936796
1,2,R1F2,canonical_quality,GALIATSATOS/PLA-BN TAN,0.5755102040816327,0.5869967507565299,0.5758653139407978,1.059381727622285,0.5881711829451692
1,2,R1F2,transport_quality_ge_6,GALIATSATOS/PLA-BN TAN,0.7622448979591837,0.722084019153075,0.726797728140169,0.5044515424428737,0.3206560926936589
1,2,R1F2,transport_quality_ge_7,GALIATSATOS/PLA-BN TAN,0.7826530612244897,0.7110726218553459,0.6979331123134873,0.555852033188786,0.3189689046091516
1,2,R1F2,canonical_quality,Operator-aware logistic EM,0.5918367346938775,0.5703816815183589,0.5788230170395775,0.8714796811281088,0.532588431068317
1,2,R1F2,transport_quality_ge_6,Operator-aware logistic EM,0.7622448979591837,0.7016310040401017,0.7126898865179156,0.4852266147086994,0.3200885382048957
1,2,R1F2,transport_quality_ge_7,Operator-aware logistic EM,0.7989795918367347,0.6292870479559748,0.6470250534325744,0.4292683292866006,0.2749435544370842
1,2,R1F2,canonical_quality,Oracle-label logistic,0.5938775510204082,0.5515280508722755,0.5632762537620171,0.8671087481782696,0.5296608180064271
1,2,R1F2,transport_quality_ge_6,Oracle-label logistic,0.7693877551020408,0.7123017357474188,0.723288355822089,0.4849902760403471,0.3196836497678691
1,2,R1F2,transport_quality_ge_7,Oracle-label logistic,0.8010204081632653,0.6100997444968553,0.6273684333679771,0.4269398619538371,0.2737509941606277
1,3,R1F3,canonical_quality,GALIATSATOS/PLA-BN TAN,0.5530612244897959,0.5530777168835153,0.548891209155958,1.2018941512754096,0.635701888619821
1,3,R1F3,transport_quality_ge_6,GALIATSATOS/PLA-BN TAN,0.763265306122449,0.7205783330839444,0.7263360616273471,0.5132764925613461,0.3333674332370019
1,3,R1F3,transport_quality_ge_7,GALIATSATOS/PLA-BN TAN,0.773469387755102,0.6813089622641509,0.6757462486362742,0.639241976852084,0.3592111120161151
1,3,R1F3,canonical_quality,Operator-aware logistic EM,0.5826530612244898,0.5503583929492811,0.5644749254619649,0.8779134155759748,0.5292967738949855
1,3,R1F3,transport_quality_ge_6,Operator-aware logistic EM,0.7714285714285715,0.6994426155918001,0.7137193531559729,0.5010542210702906,0.3297675156713303
1,3,R1F3,transport_quality_ge_7,Operator-aware logistic EM,0.813265306122449,0.6486463246855346,0.6705579793340988,0.4250214624564201,0.2677264059418155
1,3,R1F3,canonical_quality,Oracle-label logistic,0.5918367346938775,0.5522493689773947,0.5677284230757875,0.8688210566910659,0.525110585800155
1,3,R1F3,transport_quality_ge_6,Oracle-label logistic,0.7693877551020408,0.6963938351039952,0.7104972837879524,0.4967888067463172,0.3272334892284196
1,3,R1F3,transport_quality_ge_7,Oracle-label logistic,0.8163265306122449,0.6454771029874213,0.668846821004573,0.4206898289101258,0.2665772067613328
1,4,R1F4,canonical_quality,GALIATSATOS/PLA-BN TAN,0.5485188968335035,0.5557602169372792,0.5467685725959573,1.1058014091418908,0.6236948159895803
1,4,R1F4,transport_quality_ge_6,GALIATSATOS/PLA-BN TAN,0.7395301327885597,0.7058231238994417,0.7065958204492647,0.573545336194136,0.3636077904667106
1,4,R1F4,transport_quality_ge_7,GALIATSATOS/PLA-BN TAN,0.7773237997957099,0.6872278664731495,0.6814939290106138,0.5479792893181349,0.3237888225127751
1,4,R1F4,canonical_quality,Operator-aware logistic EM,0.5526046986721144,0.5107405512745117,0.5203433145623815,0.8903434676919824,0.5443785081271331
1,4,R1F4,transport_quality_ge_6,Operator-aware logistic EM,0.7415730337078652,0.6922324004346034,0.6985092649058293,0.5235030847834705,0.3505328657807892
1,4,R1F4,transport_quality_ge_7,Operator-aware logistic EM,0.8130745658835546,0.609354628422425,0.6285677560066426,0.4145805533857022,0.2644388529504382
1,4,R1F4,canonical_quality,Oracle-label logistic,0.5740551583248212,0.5327183183831666,0.5466370323978321,0.8880499114087235,0.5433074984176982
