repeat,fold,split_id,evaluation,method,accuracy,balanced_accuracy,macro_f1,log_loss,brier
1,1,R1F1,canonical_max_severity,GALIATSATOS/PLA-BN TAN,0.5504587155963303,0.42585638181968455,0.4244502567083212,1.2676294696991661,0.643507753790024
1,1,R1F1,transport_HbA1c,GALIATSATOS/PLA-BN TAN,0.5963302752293578,0.3614672364672365,0.35412129917064356,0.7680849948706334,0.46548622949364876
1,1,R1F1,transport_FPG,GALIATSATOS/PLA-BN TAN,0.617737003058104,0.45261038615468996,0.4523900330536486,0.9052682608474174,0.53250506115103
1,1,R1F1,transport_OGTT,GALIATSATOS/PLA-BN TAN,0.7003058103975535,0.34133177266224474,0.2981777548564552,0.7600352995933408,0.41846863268172735
1,1,R1F1,canonical_max_severity,Operator-aware logistic EM,0.6238532110091743,0.45802132407637,0.43074907184974887,0.8347955721849932,0.5124848968875862
1,1,R1F1,transport_HbA1c,Operator-aware logistic EM,0.6605504587155964,0.3847340930674264,0.3712069358886607,0.6940813420106239,0.42945927622224833
1,1,R1F1,transport_FPG,Operator-aware logistic EM,0.6146788990825688,0.43887558444520475,0.42326943556975505,0.8001492241113873,0.4888135989984326
1,1,R1F1,transport_OGTT,Operator-aware logistic EM,0.7125382262996942,0.3333333333333333,0.2773809523809524,0.6736160753027495,0.3911914560422883
1,1,R1F1,canonical_max_severity,Oracle-label logistic,0.654434250764526,0.46096371600958763,0.4426583700630888,0.7923345957053833,0.47565540317481236
1,1,R1F1,transport_HbA1c,Oracle-label logistic,0.6666666666666666,0.38645536562203225,0.37169936041733664,0.695372088556299,0.4316295610423524
1,1,R1F1,transport_FPG,Oracle-label logistic,0.6391437308868502,0.45375755502337783,0.43878685013436786,0.7782828904224869,0.4679853829177933
1,1,R1F1,transport_OGTT,Oracle-label logistic,0.7125382262996942,0.3333333333333333,0.2773809523809524,0.6810217213270054,0.3940850950477053
1,2,R1F2,canonical_max_severity,GALIATSATOS/PLA-BN TAN,0.5306748466257669,0.42010950344283676,0.4165277769027897,1.0921835375170348,0.6206175685401532
1,2,R1F2,transport_HbA1c,GALIATSATOS/PLA-BN TAN,0.6288343558282209,0.3468476157960623,0.2920645557603172,0.7361287847293769,0.4570817960940121
