method,n_outer_evaluations,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,log_loss_mean,log_loss_sd,brier_mean,brier_sd
GALIATSATOS/PLA-BN TAN,25,0.5516774544567644,0.03521343028992653,0.42078045938263997,0.026769314640726148,0.4189170970402467,0.027438870639601886,1.206034842271133,0.07626530368575575,0.6311781411160551,0.03491792328099312
Operator-aware logistic EM,25,0.6262351550627568,0.024520676901183463,0.4542820436928933,0.018510006453006884,0.43827773231211664,0.021802651162950167,0.8448759932903965,0.0332240049640679,0.509084822038175,0.01990765207838699
Oracle-label logistic,25,0.6481855875124295,0.020622496098172582,0.45242958049127446,0.01782163340532178,0.4348590097699597,0.018360276516043116,0.8073372854884595,0.022672700416232396,0.48618270501309785,0.012836212071292048
