evaluation,method,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,log_loss_mean,brier_mean
transport_quality_ge_6,GALIATSATOS/PLA-BN TAN,0.7518159721498405,0.7159027921913892,0.7181144333925044,0.5552196260437905,0.35361162976664146
transport_quality_ge_6,Operator-aware logistic EM,0.7550016051364367,0.6931634195529708,0.7034819904126489,0.506041085340889,0.3356406596160527
transport_quality_ge_6,Oracle-label logistic,0.752592482958454,0.6908080013873843,0.7010046319970366,0.5057902527286358,0.3356064747853969
transport_quality_ge_7,GALIATSATOS/PLA-BN TAN,0.7687635029496989,0.6689698112438809,0.6655501337608959,0.5691374873279346,0.33583096947733293
transport_quality_ge_7,Operator-aware logistic EM,0.8040028350461738,0.6244689052852328,0.6429125882071743,0.4274263479293662,0.27230711071697955
transport_quality_ge_7,Oracle-label logistic,0.803145442037898,0.6115620016010266,0.6291598774351733,0.42489620858901056,0.2715823457997383
