evaluation,method,accuracy_mean,accuracy_sd,macro_f1_mean,balanced_accuracy_mean,log_loss_mean,brier_mean
transport_FPG,GALIATSATOS/PLA-BN TAN,0.5754713795238363,0.03375066821224427,0.4075967069378642,0.4131688642678041,0.9280489147113115,0.5576387544881721
transport_FPG,Operator-aware logistic EM,0.6194938181272396,0.020582772323943246,0.42378710096952543,0.4377760561205438,0.8095310442055045,0.4976674169540385
transport_FPG,Oracle-label logistic,0.6272208776570796,0.023603942084357305,0.4271396023816639,0.4412338704356841,0.7958886858539722,0.4885676087837498
transport_HbA1c,GALIATSATOS/PLA-BN TAN,0.646241533929945,0.024241659813168743,0.3258703342980539,0.3582758204112135,0.7392918121746439,0.4495061625707869
transport_HbA1c,Operator-aware logistic EM,0.6593534830490985,0.021229185464993073,0.3143245924427986,0.3568333782707762,0.6794148168973767,0.4174503305432529
transport_HbA1c,Oracle-label logistic,0.6553002757921991,0.017783496007232256,0.2953744793317584,0.3474235501360428,0.6840137224995356,0.4213200647016666
transport_OGTT,GALIATSATOS/PLA-BN TAN,0.7223841954184725,0.023805220029396248,0.3006794494952555,0.3398467013367144,0.7646080258197417,0.4150301897932158
transport_OGTT,Operator-aware logistic EM,0.7382011594529183,0.026111114790127732,0.28850253121098357,0.3356708955296087,0.6758529605479086,0.38114745980968573
transport_OGTT,Oracle-label logistic,0.7394274028629857,0.026169568284961364,0.28331559623911123,0.33333333333333326,0.673600333566869,0.381496624664462
