method,n_outer,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,log_loss_mean,log_loss_sd,brier_mean,brier_sd
GALIATSATOS/PLA-BN TAN,25,0.5699517415816423,0.011703469320868156,0.40127723320892206,0.011728947149707982,0.3994851720943793,0.013776295113236584,0.9855229165684029,0.04547160348862648,0.5514385536790445,0.010133480334472235
Operator-aware logistic EM,25,0.5946530070467241,0.01158665780822197,0.40253956382783507,0.012692539028624163,0.38728681721084873,0.01788339544976736,0.8732095922087219,0.011686173791992561,0.5112765725413222,0.007237611377596764
Oracle-label logistic,25,0.6000002786053018,0.00836727133116605,0.3998224931786549,0.009829251276672875,0.3666938618026171,0.011500341278784432,0.862912741152455,0.008716731572547345,0.5077651397197939,0.005853431979059611
